"BehaviorSpace results (NetLogo 6.3.0)"
"Resin dummy.nlogo"
"experiment"
"07/11/2023 12:05:31:743 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","degree-of-cognition","rb","#levels","seed","#subgroups","average-node-degree","world-over-neighbors","rewiring-proportion","degree-of-homophily","update-appearance?","hide-people?","color-communities-louvain?","static-seed?","write-attitudes-to-file?","#items","population-size","[step]","mean [mean-individual-internal-consistency] of people"
"87","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.7466243795464325"
"89","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.4922679518282248"
"90","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.787931359521296"
"77","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","1.0000000000000002"
"78","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.9999999999999999"
"91","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.7634449021279135"
"93","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.7629298704243516"
"94","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.7123841876044529"
"92","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.8325570982131426"
"95","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.4322760924609619"
"97","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.447258734494983"
"96","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.689936283249044"
"79","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.9999999999999999"
"98","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.5283054086029876"
"99","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.7752481896326282"
"100","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.8171741725253322"
"80","whole-world","0","2","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","1.0000000000000002"
"101","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.508558642903938"
"102","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.4553144567639859"
"103","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.43534522808073467"
"105","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.6428877535449162"
"104","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.5972191422870624"
"106","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.4871821245740027"
"108","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.6043706396471439"
"107","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.5119725513390714"
"109","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.7799181245606404"
"110","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.7685058210415133"
"111","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.7764924205151952"
"112","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.4496034104594733"
"113","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.4759185154404404"
"114","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.639376852484088"
"115","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.5920666265828195"
"116","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.5307529935795195"
"119","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.5202048201186812"
"118","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.616454861833132"
"117","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.5655394806627131"
"120","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.4608753217260718"
"121","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.4632867847264779"
"122","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.3980623184166207"
"123","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.5105522022045843"
"124","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.45930440789087407"
"126","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.5190354909201886"
"127","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.4249465553325372"
"128","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.4571188688173579"
"125","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.6304360193670135"
"129","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.496673159078886"
"130","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.46429675268597537"
"131","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.4279679820587961"
"132","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.4436270262972459"
"133","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.4682439761635762"
"134","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.4117470327559996"
"135","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.3820737004407359"
"136","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.39332471352488724"
"137","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.4870797639653261"
"138","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.45481978858883165"
"139","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.4273698576967929"
"140","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.49229995964448514"
"141","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.4738324992480236"
"142","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.4043385404393722"
"143","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.6092730478620997"
"144","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.42657086279993983"
"146","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.4090330210011293"
"145","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.46200669198770744"
"147","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.5771186411671145"
"149","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.40286631666388284"
"148","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.45654830099924176"
"150","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.40592035157070555"
"161","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.7046635614659678"
"162","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.6707006694309142"
"151","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.3649610682400613"
"152","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.43284154644661427"
"163","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.5374615534288252"
"164","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.4350625218045083"
"165","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.6068028352077836"
"153","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.3186853346219107"
"154","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.39334986250920767"
"166","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.3356743536246066"
"167","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.4365860300201087"
"168","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.3344033866656046"
"169","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.3350355216788515"
"170","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.5477439026855289"
"171","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.6176219448042832"
"172","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.4021014189709542"
"174","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.3368715753734606"
"155","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.6224206582231907"
"173","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.5064737883460723"
"175","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.718050702887152"
"176","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.5877954638796018"
"156","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.47613615793191494"
"157","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.6319508596509594"
"158","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.479136878029401"
